x,y,z,source,maxzoom
22,53,6,glo30,12
22,52,6,glo30,12
23,53,6,glo30,12
17,8,5,glo30,12
17,9,5,glo30,12
16,8,5,glo30,12
17,11,5,glo30,12
17,10,5,glo30,12
67,41,7,glo30,12
67,40,7,glo30,12
66,41,7,glo30,12
63,42,7,glo30,12
62,42,7,glo30,12
63,43,7,glo30,12
137,98,8,glo30,12
136,99,8,glo30,12
67,39,7,glo30,12
66,38,7,glo30,12
67,38,7,glo30,12
32,20,6,glo30,12
33,21,6,glo30,12
32,21,6,glo30,12
33,22,6,glo30,12
32,22,6,glo30,12
32,23,6,glo30,12
125,88,8,glo30,12
124,88,8,glo30,12
125,89,8,glo30,12
4,1,4,glo30,12
5,1,4,glo30,12
6,7,3,glo30,12
7,7,3,glo30,12
6,6,3,glo30,12
63,44,7,glo30,12
62,45,7,glo30,12
12,6,4,glo30,12
13,6,4,glo30,12
12,7,4,glo30,12
9,5,4,glo30,12
9,4,4,glo30,12
140,99,8,glo30,12
140,98,8,glo30,12
23,31,6,glo30,12
22,31,6,glo30,12
67,47,7,glo30,12
66,46,7,glo30,12
67,46,7,glo30,12
71,48,7,glo30,12
71,49,7,glo30,12
70,48,7,glo30,12
544,395,10,glo30,12
545,395,10,glo30,12
544,394,10,glo30,12
9,24,6,glo30,12
63,42,6,glo30,12
62,42,6,glo30,12
62,43,6,glo30,12
2,4,4,glo30,12
3,4,4,glo30,12
3,5,4,glo30,12
25,16,5,glo30,12
25,17,5,glo30,12
24,17,5,glo30,12
2,13,4,glo30,12
3,13,4,glo30,12
2,3,2,glo30,12
267,190,9,glo30,12
267,191,9,glo30,12
22,21,5,glo30,12
540,384,10,glo30,12
30,23,6,glo30,12
31,23,6,glo30,12
30,22,6,glo30,12
18,3,5,glo30,12
19,3,5,glo30,12
27,18,5,glo30,12
26,18,5,glo30,12
13,50,6,glo30,12
13,51,6,glo30,12
12,51,6,glo30,12
277,194,9,glo30,12
277,195,9,glo30,12
276,195,9,glo30,12
69,49,7,glo30,12
68,48,7,glo30,12
11,6,4,glo30,12
10,6,4,glo30,12
12,1,5,glo30,12
13,1,5,glo30,12
40,33,6,glo30,12
41,33,6,glo30,12
41,32,6,glo30,12
274,198,9,glo30,12
275,198,9,glo30,12
10,10,5,glo30,12
10,11,5,glo30,12
6,2,4,glo30,12
6,3,4,glo30,12
267,156,9,glo30,12
267,157,9,glo30,12
266,156,9,glo30,12
249,178,9,glo30,12
249,179,9,glo30,12
248,179,9,glo30,12
1109,774,11,glo30,12
1109,775,11,glo30,12
1108,774,11,glo30,12
12,16,5,glo30,12
12,17,5,glo30,12
13,17,5,glo30,12
127,90,8,glo30,12
126,90,8,glo30,12
127,91,8,glo30,12
3,7,3,glo30,12
2,7,3,glo30,12
5,12,5,glo30,12
7,13,4,glo30,12
253,182,9,glo30,12
252,182,9,glo30,12
253,183,9,glo30,12
6,33,6,glo30,12
7,33,6,glo30,12
1,7,3,glo30,12
0,7,3,glo30,12
136,100,8,glo30,12
136,101,8,glo30,12
137,101,8,glo30,12
9,21,5,glo30,12
9,20,5,glo30,12
318,274,9,glo30,12
319,274,9,glo30,12
319,275,9,glo30,12
14,8,4,glo30,12
15,8,4,glo30,12
29,18,5,glo30,12
28,18,5,glo30,12
28,19,5,glo30,12
7,25,5,glo30,12
41,34,6,glo30,12
40,35,6,glo30,12
40,34,6,glo30,12
2,7,5,glo30,12
3,7,5,glo30,12
124,87,8,glo30,12
125,86,8,glo30,12
124,86,8,glo30,12
1,28,6,glo30,12
1,29,6,glo30,12
23,5,5,glo30,12
4,17,5,glo30,12
5,17,5,glo30,12
30,8,5,glo30,12
31,8,5,glo30,12
30,9,5,glo30,12
535,319,10,glo30,12
534,319,10,glo30,12
535,318,10,glo30,12
14,13,5,glo30,12
15,12,5,glo30,12
15,13,5,glo30,12
14,12,4,glo30,12
14,13,4,glo30,12
12,3,4,glo30,12
13,3,4,glo30,12
12,2,4,glo30,12
5,2,3,glo30,12
28,21,6,glo30,12
29,21,6,glo30,12
273,197,9,glo30,12
273,196,9,glo30,12
25,48,6,glo30,12
24,48,6,glo30,12
9,7,5,glo30,12
8,7,5,glo30,12
8,6,5,glo30,12
14,25,5,glo30,12
15,25,5,glo30,12
15,24,5,glo30,12
4,2,4,glo30,12
5,2,4,glo30,12
548,398,10,glo30,12
548,399,10,glo30,12
549,398,10,glo30,12
28,11,5,glo30,12
28,10,5,glo30,12
6,2,3,glo30,12
26,14,5,glo30,12
26,15,5,glo30,12
27,15,5,glo30,12
10,18,5,glo30,12
10,19,5,glo30,12
11,18,5,glo30,12
2206,1594,12,glo30,12
2207,1594,12,glo30,12
2207,1595,12,glo30,12
2,9,5,glo30,12
2,8,5,glo30,12
3,8,5,glo30,12
8,7,4,glo30,12
9,6,4,glo30,12
9,7,4,glo30,12
4,5,4,glo30,12
132,95,8,glo30,12
133,94,8,glo30,12
35,13,6,glo30,12
34,13,6,glo30,12
35,12,6,glo30,12
23,3,5,glo30,12
22,3,5,glo30,12
0,8,5,glo30,12
1,9,5,glo30,12
1,8,5,glo30,12
26,48,6,glo30,12
27,48,6,glo30,12
267,194,9,glo30,12
267,195,9,glo30,12
18,13,6,glo30,12
19,13,6,glo30,12
18,12,6,glo30,12
22,22,6,glo30,12
17,4,5,glo30,12
23,38,6,glo30,12
22,38,6,glo30,12
22,39,6,glo30,12
10,14,5,glo30,12
10,15,5,glo30,12
14,4,4,glo30,12
61,40,6,glo30,12
61,41,6,glo30,12
28,15,5,glo30,12
18,4,5,glo30,12
40,30,6,glo30,12
41,30,6,glo30,12
40,31,6,glo30,12
26,44,6,glo30,12
27,44,6,glo30,12
27,45,6,glo30,12
267,161,9,glo30,12
266,161,9,glo30,12
1069,636,11,glo30,12
1069,637,11,glo30,12
30,18,5,glo30,12
31,19,5,glo30,12
548,403,10,glo30,12
548,402,10,glo30,12
7,18,6,glo30,12
7,19,6,glo30,12
6,18,6,glo30,12
10,26,6,glo30,12
11,27,6,glo30,12
11,26,6,glo30,12
167,143,8,glo30,12
166,142,8,glo30,12
167,142,8,glo30,12
30,10,5,glo30,12
31,10,5,glo30,12
7,48,6,glo30,12
6,48,6,glo30,12
3,2,4,glo30,12
3,3,4,glo30,12
179,247,9,glo30,12
178,247,9,glo30,12
29,5,5,glo30,12
28,5,5,glo30,12
63,18,6,glo30,12
62,18,6,glo30,12
21,5,5,glo30,12
134,96,8,glo30,12
135,97,8,glo30,12
134,97,8,glo30,12
16,7,5,glo30,12
17,7,5,glo30,12
8,12,5,glo30,12
8,13,5,glo30,12
250,175,9,glo30,12
251,174,9,glo30,12
9,16,5,glo30,12
9,17,5,glo30,12
8,17,5,glo30,12
13,36,6,glo30,12
12,37,6,glo30,12
12,36,6,glo30,12
1,17,5,glo30,12
